effect_drop,npar,AIC,LRT,Pr(Chi)
<none>,NA,9702.545211832183,NA,NA
condition,1,9700.694392300657,0.1491804684737872,0.6993197652913558
condition_order,1,9701.155991595278,0.6107797630957066,0.4344943665466499
trial_num_z,1,9701.894132876285,1.3489210441020987,0.24546682991152358
age_z,1,9700.668339148848,0.12312731666497712,0.7256671059885178
trainability_score_z,1,9703.165918405035,2.620706572852214,0.10547746386771506
handler_bias,1,9700.554469554465,0.00925772228220012,0.9233481832128245
sex:desexed,1,9700.551544432206,0.006332600023597479,0.9365731833213037
