effect_drop,npar,AIC,LRT,Pr(Chi)
<none>,NA,5271.791351641114,NA,NA
condition,1,5270.29089170568,0.499540064566645,0.47970228355220923
condition_order,1,5273.533042325548,3.741690684434616,0.05307072055362644
trial_num_z,1,5270.316869410395,0.5255177692815778,0.46849740233418985
age_z,1,5271.96319089041,2.1718392492966814,0.14055803645848947
trainability_score_z,1,5269.794369827625,0.0030181865113263484,0.9561878386161756
sex:desexed,1,5269.831144726154,0.03979308504040091,0.8418856895481955
