effect_drop,npar,AIC,LRT,Pr(Chi)
<none>,NA,9700.554469554465,NA,NA
condition,1,9698.703603524022,0.14913396955671487,0.6993643454580997
condition_order,1,9699.164363681843,0.609894127377629,0.43482767583744697
trial_num_z,1,9699.903370895858,1.348901341392775,0.2454702776315624
age_z,1,9698.682316647308,0.12784709284278506,0.7206747740315465
trainability_score_z,1,9701.172344548799,2.6178749943337607,0.10566586136544985
sex:desexed,1,9698.561093503504,0.006623949038839783,0.9351336730071871
