effect,bf
(Intercept),NA
Condition,0.034792658596610765
Condition order,0.04649037969544803
Trial number,0.029796008283802966
Sex:desexed,0.08670678440752938
Age,0.021624277272198036
Trainability score,0.08822893772542113
