effect_ci,orig,X2.5.,X97.5.
(Intercept),0.12213587050879378,-0.12274387003353465,0.3738761460315216
conditionostensive,0.29418997105385997,0.04436156988452599,0.5584005350964066
condition_orderost_first,0.05703151005622439,-0.2092258127933238,0.3035760830894844
trial_num_z,-0.09844712144283527,-0.22786116740976836,0.03289781880113303
sexM,-0.0836436226510236,-0.36103048385647235,0.18696858048650042
age_z,-0.012288394726001708,-0.15165312630759867,0.12299124996254804
training_score_z,0.09430545815099962,-0.03633340798453326,0.2286848241794254
