effect_full,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),0.12213587050879378,0.12795068571410226,0.9545542474207499,0.3398031637813666
conditionostensive,0.29418997105385997,0.13141679814458762,2.2386024861919536,0.025181792337323032
condition_orderost_first,0.05703151005622439,0.1323107061589273,0.43104229213106915,0.6664376195607995
trial_num_z,-0.09844712144283527,0.06550442428173593,-1.5029079718251104,0.13286277703118557
sexM,-0.0836436226510236,0.1367852507809908,-0.6114959191393144,0.5408713191612218
age_z,-0.012288394726001708,0.06688332660475887,-0.18372882076603178,0.8542261980713344
training_score_z,0.09430545815099962,0.0672362426302433,1.402598575735706,0.16073657677633277
