effect_ci,orig,X2.5.,X97.5.
(Intercept),0.1299595560400062,-0.06259033351314532,0.3061512468769414
conditionostensive,0.01851001667669528,-0.06792541012157613,0.1159604752411532
condition_orderost_first,-0.03801553936793288,-0.14270765590803353,0.05953816789076923
trial_num_z,-0.0278357726428481,-0.07387161770299916,0.018797599951314633
sexMale,0.003372610108641676,-0.20722117697527911,0.20781389289725713
desexedYes,-0.022209124016672206,-0.18775362753323724,0.1584995462947445
age_z,0.009998540472275818,-0.04609876378224397,0.06269377297568293
trainability_score_z,-0.056650844329085744,-0.12373643139347591,0.0059116584196929525
sexMale:desexedYes,-0.009526927937421804,-0.2403427189292733,0.21981749868785355
