effect_ci,orig,X2.5.,X97.5.
(Intercept),0.1850264943115067,-0.05586156838178062,0.4240865823331386
conditionostensive,0.046292992548382504,-0.07356367762553986,0.1784911048870485
condition_orderost_first,-0.13148862772679204,-0.2750633638929671,0.0027202031624316914
trial_num_z,-0.023746066503584306,-0.0922667107664637,0.037499901322171944
sexMale,0.07234759119859774,-0.2331526382100565,0.3819060339186338
desexedYes,-0.03310864775958034,-0.32164888401444336,0.2605294776129943
age_z,0.07597676890770319,-0.02719035776432839,0.18830508597078374
trainability_score_z,-0.0026530617845004706,-0.10022127118669702,0.08745355698603607
sexMale:desexedYes,-0.04070495526163885,-0.4305722222129725,0.37317659204536535
