ostensive,nonostensive,diff_score
0.014765985150916709,0.19988894312407104,0.1320876166533959
0.6322794031399469,0.1945733532741425,0.16258035740197643
0.0022519744469610514,0.06491947647270276,0.035009108020087845
0.49821096125462466,0.6824602335768142,0.7581172114204419
0.13871843395650357,0.6653136760466878,0.8880823686943476
0.07913370025762324,0.05519599444277235,0.8180295096348842
0.5616718374242178,0.3213838122573749,0.17241901884983438
1.1478929373731992e-4,0.6071747437321863,8.608356787750292e-4
0.30672451090322245,0.021098120810651436,0.23046069177638195
0.3183575038108784,0.07028574425781461,0.4637746076805438
0.10432036406777474,0.5274178883331212,0.2729244927940928
0.2558186711392015,0.5867359228282714,0.5959656130951055
0.2866599370075662,0.011366551469328707,3.535653149183956e-4
0.13729019003315074,0.0176416431679181,0.5769644596177234
0.015161386579769462,0.5714845867480804,0.6380320581486566
0.3310721187972172,0.17627777428059296,0.580205280162714
0.010711861317868963,0.009093153141502035,0.22429222368307325
0.033175934920282764,0.05726302408879553,0.027640066874540847
0.003666535393260002,0.06929404761625114,0.5552726392887712
0.038969426143808855,0.39571724830272037,0.465366238308527
0.019524307247137013,0.1341732752742867,0.4206104319345641
0.3945977472320719,0.22992414674979014,0.8647354691798317
0.3482677983726121,0.046003808919032066,0.7876083548816757
1.8435308411924683e-4,0.015990701079514582,0.8272845272221359
0.00491813342765023,0.24477733642857893,0.035419021291668115
0.33806188575608404,0.3534756629010932,0.06537428769322616
0.6606245489215526,0.5403901883289635,0.3781440348260387
0.4331304759057193,0.427329673200815,0.5544555408918369
0.466661953647279,0.09735224756742192,0.08563142729202698
0.06435923482733294,0.23439980769613114,0.1359108216625545
0.19970768038337705,0.1418030910515385,0.07043096756701225
7.686987825599897e-4,3.0160180701597392e-5,0.49504694618088746
0.6713208991721086,0.10397542348771174,0.47374903414427777
0.15894005471530684,0.25842901912740973,0.6368312013819164
0.42018370698395535,0.1572069461185056,0.4298657228307129
0.05666751964534584,0.19365580338269586,0.5912126796547179
0.002552235068057979,0.19647709122078863,0.6876911168380649
0.2641572274940758,0.625307552467206,0.4197655428217075
4.566131752558439e-4,0.3517665135055954,0.4008829357687959
0.040284868973092317,0.04827246362879182,0.5024171431712838
0.006599262684252353,0.1336926276341647,0.43077168257928483
0.02274507215330094,0.06681095551646972,0.8347697898253332
0.3429137124477679,0.02148833383979406,0.7971203430723123
0.27707131668171614,0.03855728442253662,0.8155386105730871
0.009710853626995156,0.4655779280750446,0.8799288086152609
0.013667587010731314,0.5354681530805712,0.8683308683326799
0.20169738055860215,0.4219007911457741,0.7359164031863802
0.11962076967911218,0.5987686177838646,0.4669490389058587
0.0640778601876278,0.05630197279418003,0.2276265216650626
0.05215841822803197,0.41135439517957345,0.0012680437436813482
0.10959142701346486,0.5399480365011844,0.46407343878798535
0.3399892122149922,0.7620761759697711,0.5027941983233561
0.04354114655388449,0.19004577329085895,0.2996536658115522
0.37626612974831375,0.20207246769785117,0.013268895896807489
0.04732915241573479,0.20154360473141258,0.20203215461966037
0.3697218453252323,0.006202482070724739,0.1656921341797246
0.26733862720848206,0.522512610963171,0.6084923637789833
0.0045538795041096545,0.3903683574630799,0.0031783747062430344
0.045327471348192344,0.11375076336092259,0.022714648591232435
0.37703338625446403,1.9187594783632442e-5,0.575163478261984
3.323125324930048e-4,0.439076663115581,0.387313390141817
0.3393689641148787,0.05685230482185898,0.08550801875903373
0.008528499690582737,0.0751293254949586,0.3969458400113536
0.008556957795071025,0.0412901402143658,0.5067408922729405
0.09253412684200635,0.399298860092549,0.2864241856175203
