subjectID,purebred,breed,age,sex,desexed,training,condition_order,condition,trial,location,correct
messerli_md1_041,Yes,Australian_Shepherd,6,F,No,3.25,non_first,nonostensive,7,L,1
messerli_md1_041,Yes,Australian_Shepherd,6,F,No,3.25,non_first,nonostensive,8,R,0
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,1,L,0
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,2,R,1
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,3,L,0
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,4,R,1
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,5,L,0
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,6,L,0
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,7,R,1
messerli_md1_042,Yes,Siberian_Husky,5,M,No,1.625,non_first,nonostensive,8,R,0
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,1,L,0
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,2,R,0
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,3,L,1
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,4,R,1
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,5,L,1
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,6,L,0
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,7,R,0
messerli_md1_044,Yes,Siberian_Husky,7,M,Yes,2,ost_first,ostensive,8,R,1
messerli_md1_045,Yes,Siberian_Husky,9,M,No,2.25,ost_first,ostensive,1,R,1
messerli_md1_045,Yes,Siberian_Husky,9,M,No,2.25,ost_first,ostensive,2,L,0
messerli_md1_045,Yes,Siberian_Husky,9,M,No,2.25,ost_first,ostensive,3,L,0
messerli_md1_045,Yes,Siberian_Husky,9,M,No,2.25,ost_first,ostensive,4,R,0
messerli_md1_045,Yes,Siberian_Husky,9,M,No,2.25,ost_first,ostensive,5,L,0
messerli_md1_045,Yes,Siberian_Husky,9,M,No,2.25,ost_first,ostensive,6,R,0
messerli_md1_045,Yes,Siberian_Husky,9,M,No,2.25,ost_first,ostensive,7,R,1
messerli_md1_045,Yes,Siberian_Husky,9,M,No,2.25,ost_first,ostensive,8,L,1
messerli_md1_046,Yes,Siberian_Husky,9,F,Yes,3.25,non_first,nonostensive,1,R,0
messerli_md1_046,Yes,Siberian_Husky,9,F,Yes,3.25,non_first,nonostensive,2,L,1
messerli_md1_046,Yes,Siberian_Husky,9,F,Yes,3.25,non_first,nonostensive,3,R,0
messerli_md1_046,Yes,Siberian_Husky,9,F,Yes,3.25,non_first,nonostensive,4,L,1
messerli_md1_046,Yes,Siberian_Husky,9,F,Yes,3.25,non_first,nonostensive,5,L,1
messerli_md1_046,Yes,Siberian_Husky,9,F,Yes,3.25,non_first,nonostensive,6,R,0
messerli_md1_046,Yes,Siberian_Husky,9,F,Yes,3.25,non_first,nonostensive,7,L,1
messerli_md1_046,Yes,Siberian_Husky,9,F,Yes,3.25,non_first,nonostensive,8,R,0
messerli_md1_047,Yes,Labrador_Retriever,1,M,Yes,3.4375,non_first,nonostensive,1,R,1
messerli_md1_047,Yes,Labrador_Retriever,1,M,Yes,3.4375,non_first,nonostensive,2,L,1
messerli_md1_047,Yes,Labrador_Retriever,1,M,Yes,3.4375,non_first,nonostensive,3,R,1
messerli_md1_047,Yes,Labrador_Retriever,1,M,Yes,3.4375,non_first,nonostensive,4,L,0
messerli_md1_047,Yes,Labrador_Retriever,1,M,Yes,3.4375,non_first,nonostensive,5,L,0
messerli_md1_047,Yes,Labrador_Retriever,1,M,Yes,3.4375,non_first,nonostensive,6,R,1
messerli_md1_047,Yes,Labrador_Retriever,1,M,Yes,3.4375,non_first,nonostensive,7,L,0
messerli_md1_047,Yes,Labrador_Retriever,1,M,Yes,3.4375,non_first,nonostensive,8,R,0
messerli_md1_049,Yes,Australian_Shepherd,2,F,Yes,2.5,non_first,nonostensive,1,L,1
messerli_md1_049,Yes,Australian_Shepherd,2,F,Yes,2.5,non_first,nonostensive,2,R,1
messerli_md1_049,Yes,Australian_Shepherd,2,F,Yes,2.5,non_first,nonostensive,3,L,1
messerli_md1_049,Yes,Australian_Shepherd,2,F,Yes,2.5,non_first,nonostensive,4,R,0
messerli_md1_049,Yes,Australian_Shepherd,2,F,Yes,2.5,non_first,nonostensive,5,L,1
messerli_md1_049,Yes,Australian_Shepherd,2,F,Yes,2.5,non_first,nonostensive,6,L,1
messerli_md1_049,Yes,Australian_Shepherd,2,F,Yes,2.5,non_first,nonostensive,7,R,0
messerli_md1_049,Yes,Australian_Shepherd,2,F,Yes,2.5,non_first,nonostensive,8,R,0
messerli_md1_050,Yes,Australian_Shepherd,2,F,No,3.25,ost_first,ostensive,1,L,1
messerli_md1_050,Yes,Australian_Shepherd,2,F,No,3.25,ost_first,ostensive,2,R,0
messerli_md1_050,Yes,Australian_Shepherd,2,F,No,3.25,ost_first,ostensive,3,L,1
messerli_md1_050,Yes,Australian_Shepherd,2,F,No,3.25,ost_first,ostensive,4,R,0
messerli_md1_050,Yes,Australian_Shepherd,2,F,No,3.25,ost_first,ostensive,5,L,1
messerli_md1_050,Yes,Australian_Shepherd,2,F,No,3.25,ost_first,ostensive,6,L,0
messerli_md1_050,Yes,Australian_Shepherd,2,F,No,3.25,ost_first,ostensive,7,R,1
messerli_md1_050,Yes,Australian_Shepherd,2,F,No,3.25,ost_first,ostensive,8,R,1
messerli_md1_051,Yes,Australian_Shepherd,5,M,No,2.5,ost_first,ostensive,1,R,0
messerli_md1_051,Yes,Australian_Shepherd,5,M,No,2.5,ost_first,ostensive,2,L,1
messerli_md1_051,Yes,Australian_Shepherd,5,M,No,2.5,ost_first,ostensive,3,L,1
messerli_md1_051,Yes,Australian_Shepherd,5,M,No,2.5,ost_first,ostensive,4,R,0
messerli_md1_051,Yes,Australian_Shepherd,5,M,No,2.5,ost_first,ostensive,5,L,1
messerli_md1_051,Yes,Australian_Shepherd,5,M,No,2.5,ost_first,ostensive,6,R,0
messerli_md1_051,Yes,Australian_Shepherd,5,M,No,2.5,ost_first,ostensive,7,L,1
messerli_md1_051,Yes,Australian_Shepherd,5,M,No,2.5,ost_first,ostensive,8,R,0
messerli_md1_052,Yes,Australian_Shepherd,3,F,Yes,2.75,ost_first,ostensive,1,R,1
messerli_md1_052,Yes,Australian_Shepherd,3,F,Yes,2.75,ost_first,ostensive,2,L,1
messerli_md1_052,Yes,Australian_Shepherd,3,F,Yes,2.75,ost_first,ostensive,3,L,1
messerli_md1_052,Yes,Australian_Shepherd,3,F,Yes,2.75,ost_first,ostensive,4,R,0
messerli_md1_052,Yes,Australian_Shepherd,3,F,Yes,2.75,ost_first,ostensive,5,L,0
messerli_md1_052,Yes,Australian_Shepherd,3,F,Yes,2.75,ost_first,ostensive,6,R,0
messerli_md1_052,Yes,Australian_Shepherd,3,F,Yes,2.75,ost_first,ostensive,7,R,1
messerli_md1_052,Yes,Australian_Shepherd,3,F,Yes,2.75,ost_first,ostensive,8,L,1
messerli_md1_053,Yes,Border_Collie,9,F,No,3.5,non_first,nonostensive,1,R,0
